,city,province,address,nearest_city
10238,Liege,liege,Quai de la Boverie 84 36,Liege
10239,Liege,liege,Boulevard Emile de Laveleye 213/0061,Liege
10240,Engis,liege,Rue Maréchal Foch 99,Liege
10241,Seraing,liege,rue de la Neuville 81,Liege
10242,Liege,liege,Place d'Elmer 35,Liege
10243,Dison,liege,Du Corbeau 224,Liege
10244,Alleur,liege,Rue de Lantin 43,Liege
10245,Haccourt,liege,Rue de Liège 124,Liege
10246,Liege,liege,Quai de Rome 65 rdc,Liege
10247,Jemeppe,liege,Rue de Flémalle 66,Liege
10248,Grâce-Hollogne,liege,Chaussée de Hannut 359,Liege
10249,Malmedy,liege,Chemin du Calvaire 22 306,Liege
10250,Liege,liege,Rue de Rocourt 3,Liege
10251,Chênée,liege,,Liege
10252,Huy,liege,Rue des Crépalles 2 13,Liege
10253,Huy,liege,Rue Vierset-Godin 8,Namur
10254,Herstal,liege,Esplanade de la Paix 8 12,Liege
10255,Trooz,liege,Rue du Marché 4 11,Liege
10256,Liege,liege,Quai Godefroid Kurth 13 88,Liege
10257,Grivegnée,liege,Rue Nicolas spiroux 177 bte 011,Liege
10258,Beyne-Heusay,liege,Rue de Romsée 20,Liege
10259,Malmedy,liege,Chemin du Calvaire 22 306-406,Liege
10260,Liege,liege,Rue Julien d'Andrimont 9 63,Liege
10261,Esneux,liege,Avenue d'Esneux 188,Liege
10262,Malmedy,liege,Chemin du Calvaire 22 406,Liege
10263,Wanze,liege,Rue Val de Mehaigne 1 3,Namur
10264,Amay,liege,Chaussée Roosevelt 53A,Liege
10265,Ans,liege,Rue Simon Dister 61,Liege
10266,Liege,liege,Rue Julien d andrimont 15,Liege
10267,Stavelot,liege,Route de Trois-Ponts 175 232,Liege
10268,Kemexhe,liege,VINCENT BONNECHERE 57,Liege
10269,Liege,liege,Mont-Saint-Martin 19 B/0001,Liege
10270,Malmedy,liege,Chemin du Calvaire 22 257,Liege
10271,Liege,liege,Rue d'Amercoeur 17,Liege
10272,Verviers,liege,Rue des Alliés 31,Liege
10273,Huy,liege,Rue des Brasseurs 21,Namur
10274,Liege,liege,Rue Ferdinand Heuveneers 15 3,Liege
10275,Alleur,liege,Rue de la Vallée 24,Liege
10276,Grivegnée,liege,Avenue de l'agriculture 69,Liege
10277,Herstal,liege,Rue des Naiveux 47,Liege
10278,Herstal,liege,Rue Jolet 06/1,Liege
10279,Oupeye,liege,rue André Renard 3 5B,Liege
10280,Liege,liege,Rue de Jemeppe 37,Liege
10281,Grivegnée,liege,Rue de la Mutualité 68,Liege
10282,Malmedy,liege,Chemin de Ribomont 1+,Liege
10283,Huy,liege,Chaussée Napoléon 22F 11,Namur
10284,Stembert,liege,rue Calamine 40-42,Liege
10285,Liege,liege,Rue d'Amercoeur 17,Liege
10286,Seraing,liege,Rue de Plainevaux 81/51 81 51,Liege
10287,Liege,liege,Rue d'Amercoeur 17,Liege
10288,Malmedy,liege,Chemin de Ribomont 1+,Liege
10289,Andrimont,liege,Rue Henripré 82,Liege
10290,Grivegnée,liege,Rue des 3 Grands 11/22,Liege
10291,Stembert,liege,Rue Darimont 63,Liege
10292,Liege,liege,Rue d'Amercoeur 17,Liege
10293,Bergilers,liege,Rue des Fontaines 10 2,Liege
10294,Verviers,liege,Rue du Premier de Ligne 1 135,Liege
10295,Herstal,liege,Esplanade de la Paix 8 76,Liege
10296,Herstal,liege,Rue Paul Janson 69,Liege
10297,Grâce-Hollogne,liege,Rue Edouard Remouchamps 56,Liege
10298,Beaufays,liege,Voie de l'Air Pur 155 1,Liege
10299,Glain,liege,Rue Julien d'Andrimont 3,Liege
10300,Grâce-Hollogne,liege,Rue Paul Janson 151,Liege
10301,Bergilers,liege,Rue des Fontaines 10 1,Liege
10302,Herstal,liege,Place du 12e de Ligne 9 1,Liege
10303,Verviers,liege,Rue du Palais 31 304,Liege
10304,Büllingen,liege,MALMEDYER STRASSE 28/11,Liege
10305,Alleur,liege,Rue de la Vallée 24,Liege
10306,Herstal,liege,Place du 12e de Ligne 9 R,Liege
10307,Melen,liege,Rue Louis Pasteur 102,Liege
10308,Aywaille,liege,Dieupart 18 20,Liege
10309,Trooz,liege,Rue de la Résistance 16B,Liege
10310,Heusy,liege,Avenue Florent Becker 59,Liege
10311,Liege,liege,Rue d'Amercoeur 17,Liege
10312,Liege,liege,Rue des Célestines 18,Liege
10313,Saint-Georges-sur-Meuse,liege,Rue Mallieue 67,Liege
10314,Nessonvaux,liege,Rue Gomelevay 48,Liege
10315,Ougrée,liege,Rue des Trixhes 58,Liege
10316,Seraing,liege,Rue de la Forêt 20,Liege
10317,Andrimont,liege,Maurice Duesberg 100,Liege
10318,Liege,liege,Quai Bonaparte 21,Liege
10319,Liege,liege,Rue Victor Raskin 12 12,Liege
10320,Liege,liege,Place Xavier Neujean 26,Liege
10321,Verviers,liege,Rue du Manège 14 401,Liege
10322,Ougrée,liege,Rue Biez du Moulin 93,Liege
10323,Moha,liege,Rue du Tilleul 249,Namur
10324,Seraing,liege,Rue de l'Echelle 240,Liege
10325,Huy,liege,Avenue Albert 1er 48 14,Namur
10326,Vaux-sous-Chèvremont,liege,Rue Basse-Henne 21,Liege
10327,Huy,liege,,Namur
10328,Warnant-Dreye,liege,Rue Roua 9,Namur
10329,Liege,liege,Rue de Jemeppe 37,Liege
10330,Liege,liege,,Liege
10331,Seraing,liege,Rue des Ecoliers 48,Liege
10332,Grivegnée,liege,Rue Jules Cralle 254,Liege
10333,Waremme,liege,Avenue Edmond Leburton 101 004,Liege
10334,Burdinne,liege,,Namur
10335,Amay,liege,Rue Gaston Grégoire 8 10,Liege
10336,Pepinster,liege,Rue Hubert Halet 27,Liege
10337,Grâce-Berleur,liege,Avenue Joseph Wauters 6,Liege
10338,Bressoux,liege,Rue Chafnay 163,Liege
10339,Seraing,liege,Rue de la Province 63 1,Liege
10340,Angleur,liege,,Liege
10341,Ans,liege,Rue Simon Dister 61,Liege
10342,Vivegnis,liege,"Rue Jospeh Wauters, 93",Liege
10343,Jupille,liege,Rue de Beyne 305,Liege
10344,Liege,liege,Rue Porte aux Oies 6,Liege
10345,Jemeppe,liege,Rue Alfred de Borre 24,Liege
10346,Limbourg,liege,Rue de la Fontaine 20,Liege
10347,Verviers,liege,Rue des Martyrs 41 2,Liege
10348,Seraing,liege,rue des Jonquilles 17 A,Liege
10349,Ouffet,liege,Tige Pirette 15,Liege
10350,Liege,liege,Rue de la Colline 15,Liege
10351,Flémalle,liege,Grand'Route 445,Liege
10352,Huccorgne,liege,Rue Petites Trixhes 5,Namur
10353,Grâce-Hollogne,liege,Chaussée de Hannut 334,Liege
10354,Liege,liege,Rue du Plan Incliné 17 4,Liege
10355,Herstal,liege,Place Jean Jaurès 20,Liege
10356,Aywaille,liege,Rue du Chalet 8,Liege
10357,Amay,liege,Rue de la Cloche 83,Liege
10358,Flémalle,liege,Grand'Route 376,Liege
10359,Grâce-Hollogne,liege,Impasse Monet 5,Liege
10360,Aywaille,liege,Rue du Chalet 8,Liege
