,city,province,address,nearest_city
273,Mol,antwerp,Kiezelweg 17 257,Leuven
274,Borgerhout,antwerp,Bleekhofstraat 117 8B,Antwerp
275,Geel,antwerp,,Leuven
276,Mol,antwerp,,Leuven
277,Antwerp,antwerp,Gloriantlaan 51,Antwerp
278,Willebroek,antwerp,Stationsstraat 16,Antwerp
279,Herselt,antwerp,,Leuven
280,Mechelen,antwerp,Bergstraat 13,Antwerp
281,Deurne,antwerp,Bosuil 83 11H,Antwerp
282,Hoboken,antwerp,Weerstandlaan 61 153,Antwerp
283,Deurne,antwerp,Eugeen Fahylaan 40 102,Antwerp
284,Geel,antwerp,Winkelomseheide 158,Leuven
285,Borgerhout,antwerp,Turnhoutsebaan 158 301,Antwerp
286,Niel,antwerp,Schuttershofstraat 55,Antwerp
287,Borsbeek,antwerp,Brouwershoek 24 8,Antwerp
288,Geel,antwerp,Winkelomseheide 158,Leuven
289,Edegem,antwerp,Drie Eikenstraat 280 3,Antwerp
290,Turnhout,antwerp,Dessauerplein 1,Antwerp
291,Meerhout,antwerp,Bevrijdingslaan 140,Leuven
292,Putte,antwerp,Scherpstuklei 1,Leuven
293,Beerse,antwerp,Gasthuisstraat 26 2,Antwerp
294,Westerlo,antwerp,August Cannaertsstraat 59,Leuven
295,Antwerp,antwerp,Osystraat 35 1,Antwerp
296,Oud-Turnhout,antwerp,Kerkstraat 23,Antwerp
297,Wommelgem,antwerp,Herentalsebaan 260,Antwerp
298,Burcht,antwerp,Pastoor Coplaan 245 01.02,Antwerp
299,Mechelen,antwerp,Arendonckstraat 8,Antwerp
300,Aartselaar,antwerp,Pierstraat 350 B2,Antwerp
301,Wilrijk,antwerp,Rucaplein 540,Antwerp
302,Wilrijk,antwerp,Julius De Geyterstraat 118 B301,Antwerp
303,Antwerp,antwerp,Waterhoenlaan 11 9,Antwerp
304,Bonheiden,antwerp,De Bergen 20,Leuven
305,Niel,antwerp,Boomsestraat 66,Antwerp
306,Laakdal,antwerp,Langedijk 2A 4,Leuven
307,Deurne,antwerp,Lode Sellaan 34 201,Antwerp
308,Rijkevorsel,antwerp,Gammersplein 20103,Antwerp
309,Deurne,antwerp,Bisschoppenhoflaan 449 11,Antwerp
310,Borgerhout,antwerp,Buurtspoorweglei 16 802,Antwerp
311,Hemiksem,antwerp,Scheldeoever 22 B2,Antwerp
312,Wommelgem,antwerp,Herentalsebaan 260,Antwerp
313,Wommelgem,antwerp,Herentalsebaan 260,Antwerp
314,Deurne,antwerp,Herentalsebaan 681 202,Antwerp
315,Antwerp,antwerp,Fromentinstraat 1,Antwerp
316,Berchem,antwerp,Diksmuidelaan 151 201,Antwerp
317,Niel,antwerp,Boomsestraat 82,Antwerp
318,Antwerp,antwerp,Van der Sweepstraat 5 202,Antwerp
319,Lint,antwerp,Kardinaal Cardijnlaan 74 4,Antwerp
320,Duffel,antwerp,A. Stocletlaan 2 6,Antwerp
321,Berchem,antwerp,Diksmuidelaan 151 101,Antwerp
322,Rijkevorsel,antwerp,de Veldoven 40103,Antwerp
323,Antwerp,antwerp,Herderstraat 45,Antwerp
324,Berchem,antwerp,Wapenstilstandlaan 12 36,Antwerp
325,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
326,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
327,Willebroek,antwerp,Dendermondsesteenweg 147 301,Antwerp
328,Heist-op-den-Berg,antwerp,Oude Liersebaan 25,Leuven
329,Edegem,antwerp,Fakkelstraat 5 101,Antwerp
330,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
331,Willebroek,antwerp,Vooruitgangsstraat 119 0002,Antwerp
332,Hoboken,antwerp,Kilstraat 35,Antwerp
333,Mortsel,antwerp,Singel 53 v1,Antwerp
334,Antwerp,antwerp,Sleutelstraat 16,Antwerp
335,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
336,Brasschaat,antwerp,Van Hemelrijcklei 82 C0.01,Antwerp
337,Kontich,antwerp,Koningin Astridlaan 37 004,Antwerp
338,Merksem,antwerp,Kwadeveldenplein 4 301,Antwerp
339,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
340,Wilrijk,antwerp,Julius De Geyterstraat 207 101,Antwerp
341,Lint,antwerp,Heidelaan 30 2,Antwerp
342,Deurne,antwerp,Bisschoppenhoflaan 438 A502,Antwerp
343,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
344,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
345,Deurne,antwerp,Boekenberglei 27 302,Antwerp
346,Ekeren,antwerp,Nijverheidslei 16,Antwerp
347,Deurne,antwerp,Oude Bosuilbaan 43,Antwerp
348,Edegem,antwerp,Hovestraat 169 8,Antwerp
349,Mechelen,antwerp,Elektriciteitstraat 27 5,Antwerp
350,Kontich,antwerp,Leiaard 25 202,Antwerp
351,Brecht,antwerp,Lessiusstraat 8 V2,Antwerp
352,Mortsel,antwerp,Armand Segerslei 148 3,Antwerp
353,Edegem,antwerp,Hovestraat 159 12,Antwerp
354,Mortsel,antwerp,Edmond Thieffrylaan 104 2,Antwerp
355,Schilde,antwerp,Grote Beemd 32,Antwerp
356,Borsbeek,antwerp,Jozef Reusenslei 43 1,Antwerp
357,Mortsel,antwerp,Antwerpsestraat 60,Antwerp
358,Brecht,antwerp,Lessiusstraat 8 V1,Antwerp
359,Varendonk,antwerp,Wijngaardbos 6,Leuven
360,Mortsel,antwerp,Edmond Thieffrylaan 104 1,Antwerp
361,Mol,antwerp,Brandstraat 48 1,Leuven
362,Kontich,antwerp,Leiaard 29 201,Antwerp
363,Edegem,antwerp,Laureysstraat 2 002,Antwerp
364,Westerlo,antwerp,Sint-Michielsplein 1D,Leuven
365,Mol,antwerp,Edmond Van Hoofstraat 5/8 8,Leuven
366,Deurne,antwerp,Van Nevelestraat 99,Antwerp
367,Antwerp,antwerp,Braderijstraat 3 213,Antwerp
368,Geel,antwerp,Molseweg 109,Leuven
369,Geel,antwerp,Rozendaal 138,Leuven
370,Mortsel,antwerp,Hendrik Consciencelaan 53 GLV,Antwerp
371,Geel,antwerp,Diestseweg 187,Leuven
372,Turnhout,antwerp,Korte Gasthuisstraat 24 8,Antwerp
373,Geel,antwerp,Molderbeemdendijk 47,Leuven
374,Geel,antwerp,Brigandshof 8 24,Leuven
375,Geel,antwerp,Kollegestraat 56/2,Leuven
376,Oevel,antwerp,Nieuwland 21,Leuven
377,Geel,antwerp,Tulpenstraat 57 D,Leuven
378,Balen,antwerp,De Spruiten 61,Leuven
379,Geel,antwerp,Dr.-Van de Perrestraat 249 B,Leuven
380,Mol,antwerp,De hassels 49,Leuven
381,Geel,antwerp,Stationsstraat 156C 3,Leuven
382,Geel,antwerp,Stationsstraat 79,Leuven
383,Bornem,antwerp,Puursesteenweg 101,Antwerp
384,Geel,antwerp,Lindenhof 17 6,Leuven
385,Gierle,antwerp,Schoolstraat 4 B,Antwerp
386,Turnhout,antwerp,Steenweg op Diest 65,Antwerp
387,Turnhout,antwerp,Vianenstraat 93,Antwerp
388,Beerse,antwerp,Eikenstraat 47/1,Antwerp
389,Turnhout,antwerp,Renier Sniedersstraat 38,Antwerp
390,Turnhout,antwerp,Schippersstraat 10 8,Antwerp
391,Tielen,antwerp,Kerkstraat 13,Antwerp
392,Turnhout,antwerp,Kwakkelstraat 147 6,Antwerp
393,Turnhout,antwerp,Sint-Pieterstraat 19,Antwerp
394,Turnhout,antwerp,Nieuwstad 26,Antwerp
395,Turnhout,antwerp,Steenweg op Mol 39 1,Antwerp
396,Dessel,antwerp,Meistraat 12,Leuven
397,Turnhout,antwerp,Herentalsstraat 8 3,Antwerp
398,Turnhout,antwerp,Dierckxstraat 11,Antwerp
399,Turnhout,antwerp,Oude Vaartstraat 36 5,Antwerp
400,Dessel,antwerp,Broekstraat 33,Leuven
401,Turnhout,antwerp,Albrecht Rodenbachplantsoen 100,Antwerp
402,Turnhout,antwerp,Rubensstraat 131 5,Antwerp
403,Turnhout,antwerp,Korte Mermansstraat 40,Antwerp
404,Borsbeek,antwerp,Frans Beirenslaan 204 2VR,Antwerp
405,Hulshout,antwerp,J. Verlooyplein 34,Leuven
406,Turnhout,antwerp,Apostoliekenstraat 85,Antwerp
407,Deurne,antwerp,Dascottelei 7 101,Antwerp
408,Ekeren,antwerp,Statiestraat 24 101,Antwerp
409,Merksem,antwerp,Bredabaan 465 101,Antwerp
410,Ekeren,antwerp,Schoonbroek 50,Antwerp
411,Ekeren,antwerp,Geestenspoor 34,Antwerp
412,Turnhout,antwerp,Warandestraat 5/12,Antwerp
413,Deurne,antwerp,Petrus De Beuckelaerlaan 15 GLV,Antwerp
414,Merksem,antwerp,Grasbloemstraat 16,Antwerp
415,Berlaar,antwerp,Markt 72,Antwerp
416,Turnhout,antwerp,Apostoliekenstraat 109,Antwerp
417,Ekeren,antwerp,Geestenspoor 107 201,Antwerp
418,Vosselaar,antwerp,Hofeinde 161,Antwerp
419,Berlaar,antwerp,Legrellestraat 9 A2.4,Antwerp
420,Deurne,antwerp,Hendrik Van Uffelslaan 10-12 202,Antwerp
421,Deurne,antwerp,Nieuwe Donk 62 501,Antwerp
422,Wommelgem,antwerp,Herentalsebaan 196 V3,Antwerp
423,Deurne,antwerp,Wouter Haecklaan 1A 802,Antwerp
424,Merksem,antwerp,Bredabaan 465 201,Antwerp
425,Borsbeek,antwerp,Schanslaan 51 2006,Antwerp
426,Merksem,antwerp,Groenendaallaan 160 402,Antwerp
427,Lier,antwerp,Eeuwfeestlaan,Antwerp
428,Deurne,antwerp,Bosuil 76 27,Antwerp
429,Merksem,antwerp,Constant de Jongstraat 42 001,Antwerp
430,Borsbeek,antwerp,Schanslaan 51 2002,Antwerp
431,Merksem,antwerp,Laarsebaan 331 101,Antwerp
432,Deurne,antwerp,Ergo-de Waellaan 3 2V,Antwerp
433,Merksem,antwerp,Van Aertselaerstraat 50 101,Antwerp
434,Deurne,antwerp,Schotensesteenweg 166 5,Antwerp
435,Wommelgem,antwerp,Herentalsebaan 196 V2,Antwerp
436,Deurne,antwerp,Oude Bosuilbaan 27-29 302,Antwerp
437,Deurne,antwerp,Confortalei 211,Antwerp
438,Merksem,antwerp,Adelaarstraat 15 301,Antwerp
439,Deurne,antwerp,Generaal Slingeneyerlaan 26 2,Antwerp
440,Merksem,antwerp,Kruisbekstraat 17 3VL,Antwerp
441,Deurne,antwerp,Eugeen Fahylaan 38 201,Antwerp
442,Merksem,antwerp,Lambrechtshoekenlaan 146 1,Antwerp
443,Deurne,antwerp,Bisschoppenhoflaan 360 7,Antwerp
444,Beerse,antwerp,Molenberg 68,Antwerp
445,Breendonk,antwerp,Molenheide 68 204,Antwerp
446,Merksem,antwerp,Nieuwdreef 130 501,Antwerp
447,Merksem,antwerp,Van Praetlei 5,Antwerp
